localTime,remoteTime,label,ibi,bpm,signalOK
1623226769936,888173,speech,682,62,0
1623226770447,888760,speech,554,61,0
1623226770946,889363,speech,560,60,0
1623226771957,889948,speech,550,60,0
1623226772467,890453,speech,482,67,0
1623226772964,890978,speech,494,70,1
1623226775006,893181,speech,2060,62,0
1623226776499,894917,speech,1602,63,0
1623226778565,896531,speech,1522,62,0
1623226779529,897560,speech,944,63,0
1623226781050,899056,speech,1404,58,0
1623226783060,901094,speech,1906,52,0
1623226784074,902386,speech,1238,49,0
1623226785590,903620,speech,1142,46,0
1623226786598,904651,speech,950,45,0
1623226787606,905621,speech,928,43,0
1623226789138,907113,speech,1396,46,0
1623226790133,908163,speech,986,48,0
1623226790645,908971,speech,772,51,0
1623226791142,909493,speech,498,53,0
1623226791645,910080,speech,568,57,0
1623226792659,910666,speech,536,66,0
1623226793155,911191,speech,508,72,0
1623226794669,912987,speech,1684,68,0
1623226795690,914076,speech,1010,67,1
1623226796685,914722,speech,608,70,0
1623226797191,915187,speech,454,78,0
1623226798204,916197,speech,922,79,0
1623226799210,917206,speech,938,77,0
1623226800221,918216,speech,950,73,0
1623226802243,920276,speech,1904,63,0
1623226803267,921529,speech,1168,59,1
1623226804260,922276,speech,700,58,0
1623226804767,922780,speech,456,65,0
1623226805270,923265,speech,460,70,0
1623226805778,923770,speech,468,71,0
1623226806283,924274,speech,462,71,0
1623226806790,924780,speech,478,75,1
1623226807290,925285,speech,478,79,1
1623226807798,925831,speech,504,84,1
1623226809310,927346,speech,1394,91,0
1623226810332,928354,speech,936,94,1
1623226811329,929324,speech,910,91,1
1623226812352,930373,speech,956,85,1
1623226812840,931059,speech,634,83,0
1623226813349,931544,speech,458,83,0
1623226813854,931849,speech,274,85,0
1623226814364,932394,speech,506,85,0
1623226814364,932738,speech,304,87,0
1623226814862,933182,speech,430,88,0
1623226815370,933807,speech,588,100,0
1623226816384,934371,speech,528,107,0
1623226817914,935925,speech,1446,98,0
1623226818395,936854,speech,868,99,0
1623226819416,937401,speech,520,101,0
1623226819913,937906,speech,466,101,0
1623226820420,938411,speech,482,97,0
1623226820922,938957,speech,508,97,0
1623226821929,940166,speech,1150,85,0
1623226822941,940974,speech,746,82,0
1623226823442,941438,speech,448,83,0
1623226823442,941902,speech,452,84,0
1623226824464,942489,speech,550,96,0
1623226825487,943499,speech,946,95,0
1623226825970,944145,speech,616,94,0
1623226826476,944629,speech,448,94,0
1623226826978,945173,speech,506,94,0
1623226827481,945516,speech,316,97,0
1623226827481,945778,speech,252,113,0
1623226827991,946323,speech,510,119,0
1623226828506,946906,speech,534,116,1
1623226829500,947493,speech,544,114,1
1623226830002,947998,speech,484,116,1
1623226830512,948523,speech,494,127,1
1623226831530,949553,speech,954,119,0
1623226832525,950520,speech,904,109,0
1623226833539,951550,speech,966,100,0
1623226834544,952579,speech,948,91,1
1623226835560,953590,speech,952,82,1
1623226836569,954600,speech,936,77,1
1623226837584,955611,speech,946,73,1
1623226838599,956598,speech,924,70,1
1623226839591,957608,speech,924,67,1
1623226840603,958618,speech,964,63,1
1623226841622,959630,speech,946,63,1
1623226842627,960620,speech,936,63,1
1623226843632,961648,speech,952,63,1
1623226844138,962415,speech,718,65,0
1623226845151,963163,speech,710,67,0
1623226845659,963667,speech,478,70,0
1623226846173,964172,speech,452,75,0
1623226846685,964657,speech,472,79,0
1623226847171,965203,speech,500,84,0
1623226847678,965688,speech,464,90,1
1623226848179,966193,speech,468,97,1
1623226848688,966718,speech,464,105,1
1623226849186,967201,speech,460,115,1
1623226849695,967686,speech,452,121,1
1623226849695,968089,speech,388,130,1
1623226850194,968572,speech,452,131,1
1623226850754,969095,speech,480,130,1
1623226851705,969702,speech,568,127,1
1623226852215,970206,speech,464,128,1
1623226852215,970629,speech,388,131,1
1623226853237,971217,speech,538,129,1
1623226853759,971722,speech,460,129,1
1623226853759,972186,speech,436,129,1
1623226854736,972731,speech,526,127,1
1623226855240,973255,speech,482,125,1
1623226855746,973760,speech,478,124,1
1623226856254,974284,speech,474,124,1
1623226856760,974769,speech,448,127,1
1623226857269,975273,speech,482,127,1
1623226857766,975779,speech,466,125,1
1623226858272,976305,speech,468,127,1
1623226858775,976790,speech,466,127,1
1623226859281,977275,speech,470,126,1
1623226859792,977780,speech,454,128,1
1623226860310,978264,speech,460,128,1
1623226860834,978789,speech,472,128,1
1623226860834,979233,speech,412,130,1
1623226861301,979718,speech,460,130,1
1623226861809,980263,speech,506,129,1
1623226862818,980808,speech,516,128,1
1623226863320,981333,speech,476,127,1
1623226863830,981839,speech,472,127,1
1623226864341,982364,speech,478,127,1
1623226864832,982869,speech,462,127,1
1623226865340,983395,speech,492,126,1
1623226866358,984807,speech,1306,107,0
1623226867882,985856,speech,980,97,0
1623226868368,986603,speech,684,94,0
1623226868877,987129,speech,480,94,0
1623226869388,987735,speech,570,93,0
1623226870386,988383,speech,594,92,0
1623226870897,988927,speech,488,91,1
1623226871403,989411,speech,454,92,1
1623226871403,989713,speech,272,94,0
1623226871900,989976,speech,252,98,0
1623226872917,990904,speech,854,106,0
1623226873415,991450,speech,512,116,0
1623226873923,991914,speech,416,122,1
1623226874440,992419,speech,460,123,1
1623226874948,992925,speech,470,125,1
1623226875462,993430,speech,474,129,1
1623226876450,994461,speech,948,117,0
1623226876953,995409,speech,870,108,0
1623226877962,995974,speech,530,103,0
1623226878471,996679,speech,638,97,0
1623226878966,997185,speech,478,103,0
1623226879477,997508,rest,292,107,0
1623226879477,997812,rest,300,109,0
1623226879982,998438,rest,572,107,0
1623226880992,999024,rest,546,106,1
1623226881504,999853,rest,774,101,0
1623226882501,1000498,rest,598,107,0
1623226883009,1001003,rest,482,115,0
1623226883518,1001549,rest,500,115,0
1623226884016,1002274,rest,682,114,1
1623226884524,1002739,rest,452,115,1
1623226885028,1003042,rest,272,116,0
1623226885028,1003325,rest,266,116,0
1623226885532,1003930,rest,562,116,0
1623226886543,1004537,rest,570,116,0
1623226887048,1005082,rest,492,123,0
1623226888061,1006293,rest,1130,111,0
1623226889081,1007061,rest,710,106,0
1623226889081,1007525,rest,430,107,0
1623226890580,1008980,rest,1368,96,0
1623226892096,1010113,rest,1076,87,1
1623226892603,1011020,rest,846,80,1
1623226893627,1011645,rest,572,77,0
1623226894120,1012170,rest,482,78,0
1623226894120,1012473,rest,290,81,0
1623226894622,1013017,rest,512,80,0
