localTime,remoteTime,label,ibi,bpm,signalOK
1623228521431,2639450,rest,484,111,0
1623228521944,2639935,rest,462,116,0
1623228521944,2640238,rest,278,121,0
1623228522943,2640944,rest,650,117,0
1623228523450,2641691,rest,708,111,0
1623228523954,2642398,rest,656,108,0
1623228524959,2643127,rest,698,103,1
1623228525467,2643853,rest,678,98,1
1623228526489,2644538,rest,636,99,1
1623228526977,2645043,rest,476,104,0
1623228526977,2645387,rest,318,107,0
1623228527986,2646033,rest,618,105,0
1623228528496,2646518,rest,462,101,1
1623228528496,2646881,rest,346,107,0
1623228529522,2647670,rest,736,106,0
1623228530034,2648397,rest,696,106,0
1623228531022,2649044,rest,592,108,0
1623228531535,2649570,rest,480,111,0
1623228531535,2649872,rest,290,119,0
1623228532530,2650518,rest,602,116,0
1623228533042,2651326,rest,732,108,0
1623228533541,2652012,rest,638,107,0
1623228534551,2652780,rest,726,102,0
1623228535062,2653466,rest,644,97,0
1623228536078,2654113,rest,580,100,1
1623228536585,2654598,rest,458,104,0
1623228536585,2655042,rest,408,108,0
1623228538090,2656536,rest,1382,92,0
1623228539602,2657868,rest,1220,81,0
1623228541120,2659183,rest,1216,75,0
1623228542126,2660173,rest,922,73,0
1623228542640,2660901,rest,680,72,0
1623228543654,2661646,rest,710,72,0
1623228544164,2662393,rest,694,72,0
1623228544651,2663119,rest,682,71,0
1623228545668,2663887,rest,700,69,1
1623228546673,2664677,rest,736,67,1
1623228547179,2665443,rest,730,72,1
1623228548195,2666192,rest,690,77,1
1623228550203,2668250,rest,1870,71,0
1623228551232,2669442,rest,1124,69,1
1623228551745,2670169,rest,674,69,0
1623228552736,2670936,rest,710,69,0
1623228553238,2671703,rest,706,69,0
1623228555266,2673259,rest,1438,64,0
1623228556772,2674794,rest,1426,59,0
1623228558299,2676270,rest,1368,55,0
1623228558807,2677159,rest,820,55,0
1623228559803,2677783,rest,566,56,0
1623228560309,2678672,rest,832,62,0
1623228562333,2680326,rest,1520,59,0
1623228563332,2681396,rest,966,57,1
1623228564851,2682871,rest,1376,54,0
1623228565361,2683758,rest,826,53,0
1623228566360,2684385,rest,568,58,0
1623228567884,2685879,rest,1378,58,0
1623228569397,2687396,rest,1418,58,0
1623228570402,2688467,rest,974,57,0
1623228571406,2689394,rest,868,55,0
1623228571918,2690120,rest,666,56,0
